Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Peru,71636851.41,61740393.9,1.76E+11,1.36E+11,9896457.514,40047000000,40037103542,16.02914541,29.41431383,13.38516843,51,111,123,0,52.56058746
Philippines,98248271.5,108766519.3,2.36E+11,1.85E+11,-10518247.79,50878000000,50888518248,-9.670483027,27.43666347,37.10714649,4,15,121,1,61.97668029
Poland,164997714.9,177067801.7,5.19E+11,4.63E+11,-12070086.74,55934000000,55946070087,-6.816646862,12.09033491,18.90698177,35,21,61,1,106.1827153
Portugal,40486481.89,47930963.64,2.22E+11,2.34E+11,-7444481.754,-11875000000,-11867555518,-15.53167554,-5.077455244,10.45422029,68,5,7,0,59.73483546
Romania,51995075.45,59095376.44,1.77E+11,1.69E+11,-7100300.989,7545000000,7552100301,-12.01498563,4.455270151,16.47025578,42,11,27,1,52.67022078
Russian Federation,820211113.5,748921356.8,1.67E+12,1.46E+12,71289756.66,2.08E+11,2.08E+11,9.518991015,14.23588268,4.716891661,94,87,72,0,286.0380603
Rwanda,9685789.996,8614010.615,6999339475,5310229469,1071779.381,1689110006,1688038227,12.4422807,31.80860669,19.36632598,33,100,132,0,26.06132686
Saint Kitts and Nevis,239947.8983,203966.4295,762224674.6,721236727.8,35981.46878,40987946.8,40951965.33,17.6408779,5.683008813,-11.95786909,144,120,32,0,25.08447598
Saint Lucia,429985.9119,444026.6481,1227587245,1263352430,-14040.7362,-35765185,-35751144.26,-3.162138186,-2.830974489,0.331163697,118,32,8,0,25.15736062
Samoa,442727.3033,448602.6234,684046231.3,653657094.7,-5875.32004,30389136.6,30395011.92,-1.309693643,4.649094586,5.958788229,89,40,29,1,25.07223175
Sao Tome and Principe,295126.832,274058.2968,222852291.5,185103945.1,21068.53518,37748346.4,37727277.86,7.687610785,20.39305342,12.70544263,56,79,100,0,25
Senegal,15719467.71,16814579.89,14199477561,12396054492,-1095112.179,1803423069,1804518181,-6.512872677,14.54836351,21.06123619,26,22,75,1,27.18900552
Serbia,27711358.82,27228282.28,40625727368,39231060777,483076.5333,1394666591,1394183514,1.774171901,3.555006068,1.780834167,111,55,25,0,31.32785919
Sierra Leone,7484485.614,6360775.928,3813207065,2483374322,1123709.686,1329832743,1328709033,17.66623598,53.54942794,35.88319196,5,121,153,0,25.56231789
Singapore,36748626.81,36473264.76,2.72E+11,2.05E+11,275362.0444,67329000000,67328724638,0.754969554,32.81860057,32.06363102,10,51,137,0,67.64127744
Slovenia,9699488.949,9925156.49,46517357748,47429405166,-225667.5407,-912047418,-911821750.5,-2.27369252,-1.922957741,0.35073478,117,37,10,0,32.25060064
South Africa,180142776.3,183202015.6,4.05E+11,3.64E+11,-3059239.293,41215000000,41218059239,-1.669872072,11.31422328,12.98409535,54,39,57,1,88.47270505
Spain,187128933.6,217226969,1.36E+12,1.43E+12,-30098035.37,-74340000000,-74309901965,-13.85557029,-5.193226591,8.662343696,77,7,5,0,237.5190504
Sri Lanka,29373928.94,25931952.29,69395796205,52516077579,3441976.647,16879718626,16876276649,13.27311036,32.14200185,18.86889149,36,101,135,0,35.83379953
Swaziland,2545369.166,2099061.815,4988776858,4445837369,446307.3511,542939489,542493181.6,21.26223001,12.21231107,-9.049918941,140,132,63,0,25.74643449
Sweden,62874049.49,54122271.71,5.06E+11,4.61E+11,8751777.783,45379000000,45370248222,16.17038145,9.848236589,-6.322144858,136,113,50,0,104.2396996
Switzerland,42892711.5,42190232.73,6.09E+11,5.65E+11,702478.7726,44012000000,44011297521,1.665027015,7.796137005,6.131109989,88,54,42,0,120.2752959
